cat: /opt/samplegenerator_code/src/ginstall_8_32/ginstall_8_32.opts: No such file or directory
[0;34m[INFO][0m: /opt/tigress/3.1/tigress --Environment=x86_64:Linux:Gcc:12.1     --gcc="/usr/sbin/musl-gcc -mno-mmx -mno-sse -Wl,-Map=% -O0"     --Transform=Info --InfoKind=* --Transform=Flatten --Functions=have_same_content,extra_mode,need_copy,cp_option_init,setdefaultfilecon,target_directory_operand,announce_mkdir,make_ancestor,process_dir,copy_file,change_attributes,change_timestamps,strip,get_ids,usage,install_file_in_file,mkancesdirs_safe_wd,install_file_in_file_parents,install_file_in_dir,main /opt/samplegenerator_code/src/ginstall_8_32/ginstall_8_32.c --out=ginstall_8_32.c -o ginstall_8_32 
treating long double constant 3.3621031431120935063e-4932L as double constant at lib/ftoastr.c:132.
digraph G {
glthread_recursive_lock_init_multithreaded -> externalFun_pthread_mutexattr_destroy
glthread_recursive_lock_init_multithreaded -> externalFun_pthread_mutexattr_settype
glthread_recursive_lock_init_multithreaded -> externalFun_pthread_mutexattr_init
quote -> quote_n
ydhms_diff -> shr
rpl_fcntl -> externalFun___builtin_va_end
rpl_fcntl -> externalFun_fcntl
rpl_fcntl -> externalFun___builtin_va_arg
rpl_fcntl -> externalFun___builtin_va_start
rpl_fcntl -> rpl_fcntl_DUPFD
rpl_fcntl -> rpl_fcntl_DUPFD_CLOEXEC
hash_insert_if_absent -> externalFun_abort
hash_insert_if_absent -> hash_find_entry
hash_insert_if_absent -> check_tuning
hash_insert_if_absent -> hash_rehash
hash_insert_if_absent -> allocate_entry
setlocale_null_androidfix -> externalFun_setlocale
create_ci_newstate -> externalFun_free
create_ci_newstate -> externalFun___builtin_expect
create_ci_newstate -> externalFun_calloc
create_ci_newstate -> re_node_set_init_copy
create_ci_newstate -> register_state
create_ci_newstate -> free_state
rpl_re_match_2 -> re_search_2_stub
set_program_name -> externalFun_strncmp
set_program_name -> externalFun_strrchr
set_program_name -> externalFun_abort
set_program_name -> externalFun_fputs
fallback_failure_callback -> externalFun_fprintf
hash_lookup -> safe_hasher
yylex -> c_isspace
yylex -> c_isdigit
yylex -> time_overflow
yylex -> c_isalpha
yylex -> lookup_word
yylex -> dbg_printf
yylex -> to_uchar___1
errno_fail -> externalFun___errno_location
re_node_set_alloc -> externalFun___builtin_expect
re_node_set_alloc -> externalFun_malloc
samedir_template -> externalFun_strcpy
samedir_template -> externalFun_mempcpy
samedir_template -> externalFun_malloc
samedir_template -> last_component
simple_new -> xmalloc
readtokens0_init -> _obstack_begin
debug_mktime_not_ok -> externalFun_snprintf
debug_mktime_not_ok -> dbg_printf
debug_mktime_not_ok -> debug_strfdatetime
quotearg_n_custom -> quotearg_n_custom_mem
fts_set -> externalFun___errno_location
re_string_skip_chars -> externalFun___builtin_expect
re_string_skip_chars -> externalFun_mbrtowc
printf_frexp -> externalFun_ldexp
printf_frexp -> externalFun_frexp
end_wpattern -> externalFun_getenv
end_wpattern -> end_wpattern
bitset_copy -> externalFun_memcpy
count_leading_zeros_l -> externalFun___builtin_clzl
free_cwd -> externalFun_free
free_cwd -> externalFun_close
re_string_realloc_buffers -> externalFun_realloc
re_string_realloc_buffers -> externalFun___builtin_expect
di_set_free -> externalFun_free
di_set_free -> hash_free
di_set_free -> ino_map_free
safe_read -> externalFun___errno_location
safe_read -> externalFun_read
xmalloc -> externalFun_malloc
xmalloc -> xalloc_die
xnmalloc -> xalloc_die
xnmalloc -> xmalloc
cdb_free -> externalFun___assert_fail
cdb_free -> externalFun_close
free_dfa_content -> externalFun_free
free_dfa_content -> free_token
free_dfa_content -> free_state
merge_state_array -> externalFun_free
merge_state_array -> externalFun___builtin_expect
merge_state_array -> re_node_set_init_union
merge_state_array -> re_acquire_state
copy_file -> need_copy
copy_file -> copy
getenv_TZ -> externalFun_getenv
proceed_next_node -> externalFun_memcmp
proceed_next_node -> externalFun___builtin_expect
proceed_next_node -> re_node_set_insert
proceed_next_node -> re_node_set_contains
proceed_next_node -> push_fail_stack
proceed_next_node -> check_node_accept_bytes
proceed_next_node -> check_node_accept
re_string_allocate -> externalFun___builtin_expect
re_string_allocate -> re_string_construct_common
re_string_allocate -> re_string_realloc_buffers
free_token -> externalFun_free
free_token -> free_charset
re_string_context_at -> externalFun_iswalnum
re_string_context_at -> externalFun___builtin_unreachable
re_string_context_at -> externalFun___builtin_expect
re_string_context_at -> bitset_contain
pop_fail_stack -> externalFun_free
pop_fail_stack -> externalFun_memcpy
pop_fail_stack -> externalFun___builtin_unreachable
streq0 -> streq1
str2sig -> str2signum
initbuffer -> externalFun_memset
internal_read_file -> externalFun_free
internal_read_file -> externalFun_fclose
internal_read_file -> externalFun___errno_location
internal_read_file -> externalFun_fopen
internal_read_file -> fread_file
find_backup_file_name -> backupfile_internal
find_backup_file_name -> xalloc_die
check_subexp_matching_top -> externalFun___builtin_expect
check_subexp_matching_top -> match_ctx_add_subtop
openat_save_fail -> externalFun_abort
openat_save_fail -> error
validate_timespec -> externalFun___errno_location
re_string_destruct -> externalFun_free
base_len -> externalFun_strlen
re_search_2_stub -> externalFun_free
re_search_2_stub -> externalFun_memcpy
re_search_2_stub -> externalFun_malloc
re_search_2_stub -> externalFun___builtin_expect
re_search_2_stub -> re_search_stub
print_errno_message -> externalFun_fprintf
print_errno_message -> externalFun_strerror_r
streq3 -> streq4
getuser -> externalFun_strcpy
getuser -> externalFun_strlen
getuser -> externalFun_getpwuid
getuser -> xmalloc
xstrtod -> externalFun___errno_location
cached_umask -> externalFun_umask
quotearg_style -> quotearg_n_style
rpl_pipe2 -> externalFun_close
rpl_pipe2 -> externalFun_pipe
rpl_pipe2 -> externalFun___errno_location
rpl_pipe2 -> externalFun_pipe2
rpl_pipe2 -> rpl_fcntl
follow_fstatat -> externalFun_fstatat
mbsnwidth -> externalFun_iscntrl
mbsnwidth -> externalFun_mbsinit
mbsnwidth -> externalFun_iswcntrl
mbsnwidth -> externalFun_wcwidth
mbsnwidth -> externalFun_mbrtowc
mbsnwidth -> externalFun_memset
mbsnwidth -> externalFun___ctype_get_mb_cur_max
heap_remove_top -> heapify_down
xget_version -> externalFun_getenv
xget_version -> get_version
quotearg_n_custom_mem -> set_custom_quoting
quotearg_n_custom_mem -> quotearg_n_options
sha256_process_block -> __bswap_32
readtokens0 -> externalFun_ferror
readtokens0 -> externalFun_fgetc
readtokens0 -> _obstack_newchunk
readtokens0 -> save_token
file_pattern_matches -> exclude_patopts
glthread_rwlock_rdlock_multithreaded -> externalFun_pthread_mutex_unlock
glthread_rwlock_rdlock_multithreaded -> externalFun_pthread_cond_wait
glthread_rwlock_rdlock_multithreaded -> externalFun_pthread_mutex_lock
re_node_set_insert_last -> externalFun___builtin_expect
re_node_set_insert_last -> externalFun_realloc
set_acl -> externalFun___errno_location
set_acl -> qset_acl
set_acl -> quote
set_acl -> error
free_workarea_compile -> externalFun_free
ino_map_free -> externalFun_free
ino_map_free -> hash_free
physmem_available -> externalFun_sysinfo
physmem_available -> externalFun_sysconf
physmem_available -> physmem_total
remember_copied -> xmalloc
remember_copied -> xstrdup
remember_copied -> hash_insert
remember_copied -> xalloc_die
remember_copied -> src_to_dest_free
enter_dir -> externalFun_free
enter_dir -> externalFun_malloc
enter_dir -> hash_insert
enter_dir -> cycle_check
fprintftime -> __strftime_internal
dest_info_init -> hash_initialize
create_hole -> externalFun___errno_location
create_hole -> externalFun_lseek
create_hole -> quotearg_style
create_hole -> error
create_hole -> punch_hole
string_hasher_ci -> externalFun_towlower
string_hasher_ci -> externalFun_memset
string_hasher_ci -> mbuiter_multi_next
sparse_new -> hash_initialize
readtokens -> externalFun_free
readtokens -> externalFun_memcpy
readtokens -> xnmalloc
readtokens -> init_tokenbuffer
readtokens -> readtoken
readtokens -> x2nrealloc
readtokens -> xnrealloc
build_wcs_buffer -> externalFun_mbrtowc
build_wcs_buffer -> externalFun___builtin_expect
new_exclude -> xzalloc
re_compile_fastmap_iter -> externalFun_wcrtomb
re_compile_fastmap_iter -> externalFun_towlower
re_compile_fastmap_iter -> externalFun_mbrtowc
re_compile_fastmap_iter -> externalFun_memset
re_compile_fastmap_iter -> re_set_fastmap
extract_trimmed_name -> externalFun_strlen
extract_trimmed_name -> externalFun_strncpy
extract_trimmed_name -> xmalloc
rpl_re_compile_pattern -> re_compile_internal
mdir_name -> externalFun_memcpy
mdir_name -> externalFun_malloc
mdir_name -> dir_len
memcasecmp -> externalFun_toupper
re_string_reconstruct -> externalFun_iswalnum
re_string_reconstruct -> externalFun_mbrtowc
re_string_reconstruct -> externalFun___builtin_unreachable
re_string_reconstruct -> externalFun_memmove
re_string_reconstruct -> externalFun_memset
re_string_reconstruct -> externalFun___builtin_expect
re_string_reconstruct -> re_string_context_at
re_string_reconstruct -> re_string_skip_chars
re_string_reconstruct -> bitset_contain
re_string_reconstruct -> build_wcs_upper_buffer
re_string_reconstruct -> build_wcs_buffer
re_string_reconstruct -> build_upper_buffer
re_string_reconstruct -> re_string_translate_buffer
re_string_peek_byte_case -> externalFun___builtin_expect
string_free -> externalFun_free
sift_states_iter_mb -> check_node_accept_bytes
sift_states_iter_mb -> re_node_set_contains
__strftime_internal -> externalFun_strlen
__strftime_internal -> externalFun_fwrite
__strftime_internal -> externalFun_strftime
__strftime_internal -> externalFun_fputc
__strftime_internal -> __strftime_internal
__strftime_internal -> fwrite_lowcase
__strftime_internal -> fwrite_uppcase
__strftime_internal -> mktime_z
__strftime_internal -> iso_week_days
cp_options_default -> externalFun_geteuid
cp_options_default -> externalFun_memset
parse_omp_threads -> externalFun_strtoul
parse_omp_threads -> c_isspace
parse_omp_threads -> c_isdigit
set_cloexec_flag -> rpl_fcntl
strcaseeq2 -> c_isupper
strcaseeq2 -> strcaseeq3
base64_encode_fast -> to_uchar___0
get_subexp_sub -> externalFun___builtin_expect
get_subexp_sub -> check_arrival
get_subexp_sub -> match_ctx_add_entry
get_subexp_sub -> clean_state_log_if_needed
seen_triple -> hash_initialize
seen_triple -> xalloc_die
seen_triple -> seen_file
seen_triple -> record_file
emit_backup_suffix_note -> externalFun_fputs_unlocked
dir_name -> mdir_name
dir_name -> xalloc_die
rpl_getcwd -> externalFun_free
rpl_getcwd -> externalFun_close
rpl_getcwd -> externalFun_memmove
rpl_getcwd -> externalFun_memcpy
rpl_getcwd -> externalFun_realloc
rpl_getcwd -> externalFun_strlen
rpl_getcwd -> externalFun_fstatat
rpl_getcwd -> externalFun_rewinddir
rpl_getcwd -> externalFun_readdir
rpl_getcwd -> externalFun_fdopendir
rpl_getcwd -> externalFun_closedir
rpl_getcwd -> externalFun_fstat
rpl_getcwd -> externalFun_openat
rpl_getcwd -> externalFun_lstat
rpl_getcwd -> externalFun_malloc
rpl_getcwd -> externalFun_strdup
rpl_getcwd -> externalFun___errno_location
rpl_getcwd -> externalFun_getcwd
_getopt_long_only_r -> _getopt_internal_r
process_long_option -> externalFun_strchr
process_long_option -> externalFun_free
process_long_option -> externalFun_funlockfile
process_long_option -> externalFun_flockfile
process_long_option -> externalFun_fprintf
process_long_option -> externalFun_memset
process_long_option -> externalFun_malloc
process_long_option -> externalFun_strlen
process_long_option -> externalFun_strncmp
_obstack_free -> externalFun_abort
_obstack_free -> call_freefun
is_cjk_encoding -> streq0
fadvise -> externalFun_fileno
fadvise -> fdadvise
seen_file -> hash_lookup
mbiter_multi_next -> externalFun_mbrtowc
mbiter_multi_next -> externalFun___assert_fail
mbiter_multi_next -> externalFun_mbsinit
mbiter_multi_next -> is_basic
tm_diff -> ydhms_diff
transfer_entries -> safe_hasher
transfer_entries -> free_entry
transfer_entries -> allocate_entry
build_upper_buffer -> externalFun_toupper
build_upper_buffer -> externalFun___builtin_expect
fts_close -> externalFun_fchdir
fts_close -> externalFun___errno_location
fts_close -> externalFun_close
fts_close -> externalFun_free
fts_close -> fts_lfree
fts_close -> fd_ring_clear
fts_close -> hash_free
fts_close -> free_dir
quotearg_alloc_mem -> externalFun___errno_location
quotearg_alloc_mem -> quotearg_buffer_restyled
quotearg_alloc_mem -> xcharalloc
setfileconat -> externalFun_fchdir
setfileconat -> externalFun_free
setfileconat -> externalFun___errno_location
setfileconat -> lsetfilecon
setfileconat -> openat_proc_name
setfileconat -> save_cwd
setfileconat -> openat_save_fail
setfileconat -> free_cwd
setfileconat -> restore_cwd
setfileconat -> openat_restore_fail
argmatch_to_argument -> externalFun_memcmp
readisaac -> externalFun_memcpy
readisaac -> isaac_refill
isbase64 -> to_uchar___0
free_tree -> free_token
end_pattern -> externalFun_getenv
end_pattern -> end_pattern
re_node_set_add_intersect -> externalFun_memcpy
re_node_set_add_intersect -> externalFun___builtin_expect
re_node_set_add_intersect -> externalFun_realloc
direntry_cmp_name -> externalFun_strcmp
copy_dir -> externalFun_strlen
copy_dir -> externalFun_free
copy_dir -> externalFun___errno_location
copy_dir -> savedir
copy_dir -> quotearg_style
copy_dir -> error
copy_dir -> file_name_concat
copy_dir -> copy_internal
update_regs -> externalFun_memcpy
bkm_scale_by_power___1 -> bkm_scale___1
dup_safer_flag -> rpl_fcntl
fd_ring_clear -> externalFun_close
fd_ring_clear -> i_ring_empty
fd_ring_clear -> i_ring_pop
bkm_scale_by_power___0 -> bkm_scale___0
xalloc_die -> externalFun_abort
xalloc_die -> error
mode_compile -> externalFun_free
mode_compile -> octal_to_mode
mode_compile -> make_node_op_equals
mode_compile -> xnmalloc
triple_free -> externalFun_free
strcaseeq8 -> c_isupper
strcaseeq8 -> strcaseeq9
xzalloc -> xcalloc
get_ids -> externalFun_endgrent
get_ids -> externalFun_getgrnam
get_ids -> externalFun_endpwent
get_ids -> externalFun___builtin_unreachable
get_ids -> externalFun_getpwnam
get_ids -> xstrtoumax
get_ids -> quote
get_ids -> error
check_extension -> externalFun_fpathconf
check_extension -> externalFun_pathconf
check_extension -> externalFun___errno_location
check_extension -> externalFun_strcpy
check_extension -> externalFun_memcpy
check_extension -> last_component
check_extension -> base_len
opendir_safer -> externalFun_closedir
opendir_safer -> externalFun_close
opendir_safer -> externalFun_fdopendir
opendir_safer -> externalFun___errno_location
opendir_safer -> externalFun_dirfd
opendir_safer -> externalFun_opendir
opendir_safer -> rpl_fcntl
locale_charset -> rpl_nl_langinfo
set_simple_backup_suffix -> externalFun_getenv
set_simple_backup_suffix -> last_component
posixtime -> externalFun_strcpy
posixtime -> externalFun_stpcpy
posixtime -> externalFun_mktime
posixtime -> posix_time_parse
posixtime -> posixtime
fd_safer -> externalFun_close
fd_safer -> externalFun___errno_location
fd_safer -> dup_safer
can_write_any_file -> externalFun_geteuid
internal_fnwmatch -> externalFun_iswctype
internal_fnwmatch -> externalFun_getenv
internal_fnwmatch -> externalFun_wmemchr
internal_fnwmatch -> externalFun___builtin_expect
internal_fnwmatch -> externalFun_towlower
internal_fnwmatch -> ext_wmatch
internal_fnwmatch -> end_wpattern
internal_fnwmatch -> internal_fnwmatch
internal_fnwmatch -> is_char_class
mpsort_into_tmp -> externalFun_memcpy
mpsort_into_tmp -> mpsort_with_tmp
proper_name -> externalFun_sprintf
proper_name -> externalFun_strlen
proper_name -> mbsstr_trimmed_wordbounded
proper_name -> xmalloc
proper_name -> xnmalloc
fetch_token -> peek_token
rpl_nanosleep -> externalFun_nanosleep
rpl_nanosleep -> externalFun___errno_location
postorder -> externalFun___builtin_expect
source_is_dst_backup -> externalFun_free
source_is_dst_backup -> externalFun_stat
source_is_dst_backup -> externalFun_strcpy
source_is_dst_backup -> externalFun_mempcpy
source_is_dst_backup -> externalFun_strcmp
source_is_dst_backup -> externalFun_memcmp
source_is_dst_backup -> externalFun_strlen
source_is_dst_backup -> last_component
source_is_dst_backup -> xmalloc
i_ring_pop -> externalFun_abort
i_ring_pop -> i_ring_empty
glthread_rwlock_wrlock_multithreaded -> externalFun_pthread_mutex_unlock
glthread_rwlock_wrlock_multithreaded -> externalFun_pthread_cond_wait
glthread_rwlock_wrlock_multithreaded -> externalFun_pthread_mutex_lock
read_utmp -> externalFun_endutxent
read_utmp -> externalFun_getutxent
read_utmp -> externalFun_setutxent
read_utmp -> externalFun_utmpxname
read_utmp -> desirable_utmp_entry
read_utmp -> x2nrealloc
build_charclass -> externalFun_isxdigit
build_charclass -> externalFun_ispunct
build_charclass -> externalFun_isblank
build_charclass -> externalFun_iscntrl
build_charclass -> externalFun_isalnum
build_charclass -> externalFun_wctype
build_charclass -> externalFun_realloc
build_charclass -> externalFun___builtin_expect
build_charclass -> externalFun_strcmp
build_charclass -> bitset_set
build_charclass -> __isspace
fnmatch_no_wildcards -> externalFun_free
fnmatch_no_wildcards -> externalFun_strchr
fnmatch_no_wildcards -> externalFun_strncmp
fnmatch_no_wildcards -> externalFun_strlen
fnmatch_no_wildcards -> externalFun_strcmp
fnmatch_no_wildcards -> mbscasecmp
fnmatch_no_wildcards -> xstrdup
fdadvise -> externalFun_posix_fadvise
match_suffix -> c_isalpha
match_suffix -> c_isalnum
streq4 -> streq5
re_node_set_init_union -> externalFun_memcpy
re_node_set_init_union -> externalFun_memset
re_node_set_init_union -> externalFun___builtin_expect
re_node_set_init_union -> externalFun_malloc
re_node_set_init_union -> re_node_set_init_copy
base32_encode_alloc -> externalFun_malloc
base32_encode_alloc -> base32_encode
verror_at_line -> externalFun_free
verror_at_line -> externalFun_abort
verror_at_line -> externalFun___errno_location
verror_at_line -> xvasprintf
verror_at_line -> error_at_line
verror_at_line -> error
lookup_word -> externalFun_strncmp
lookup_word -> externalFun_strlen
lookup_word -> externalFun_strcmp
lookup_word -> to_uchar___1
lookup_word -> c_toupper
lookup_word -> lookup_zone
rpl_getopt_long -> rpl_getopt_internal
fts_build -> externalFun_memmove
fts_build -> externalFun_free
fts_build -> externalFun_strlen
fts_build -> externalFun_readdir
fts_build -> externalFun_close
fts_build -> externalFun___errno_location
fts_build -> externalFun_closedir
fts_build -> externalFun_dirfd
fts_build -> opendirat
fts_build -> fts_stat
fts_build -> leave_dir
fts_build -> enter_dir
fts_build -> leaf_optimization
fts_build -> rpl_fcntl
fts_build -> fts_safe_changedir
fts_build -> fts_alloc
fts_build -> fts_palloc
fts_build -> fts_lfree
fts_build -> set_stat_type
fts_build -> fts_set_stat_required
fts_build -> dirent_inode_sort_may_be_useful
fts_build -> fts_padjust
fts_build -> restore_initial_cwd
fts_build -> fts_sort
extend_buffers -> externalFun_realloc
extend_buffers -> externalFun___builtin_expect
extend_buffers -> re_string_realloc_buffers
extend_buffers -> build_wcs_upper_buffer
extend_buffers -> build_upper_buffer
extend_buffers -> build_wcs_buffer
extend_buffers -> re_string_translate_buffer
floor_lg -> count_leading_zeros
floor_lg -> count_leading_zeros_l
floor_lg -> count_leading_zeros_ll
process_dir -> externalFun___errno_location
process_dir -> make_dir_parents
process_dir -> last_component
process_dir -> restorecon
process_dir -> ignorable_ctx_err
process_dir -> quotearg_style
process_dir -> error
__bswap_64 -> __bswap_32
copy -> externalFun___assert_fail
copy -> valid_options
copy -> copy_internal
heap_insert -> x2nrealloc
heap_insert -> heapify_up
set_tz -> externalFun___errno_location
set_tz -> externalFun_strcmp
set_tz -> getenv_TZ
set_tz -> tzalloc
set_tz -> change_env
set_tz -> tzfree
try_symlink -> externalFun_symlinkat
valid_options -> externalFun___assert_fail
knuth_morris_pratt_multibyte -> externalFun_abort
knuth_morris_pratt_multibyte -> externalFun_memcmp
knuth_morris_pratt_multibyte -> externalFun_memset
knuth_morris_pratt_multibyte -> externalFun___builtin_alloca
knuth_morris_pratt_multibyte -> mbslen
knuth_morris_pratt_multibyte -> mmalloca
knuth_morris_pratt_multibyte -> mbuiter_multi_next
knuth_morris_pratt_multibyte -> mb_copy
knuth_morris_pratt_multibyte -> freea
parse_bracket_symbol -> re_string_fetch_byte_case
fts_open -> externalFun_free
fts_open -> externalFun_strlen
fts_open -> externalFun_calloc
fts_open -> externalFun___errno_location
fts_open -> fts_maxarglen
fts_open -> fts_palloc
fts_open -> fts_alloc
fts_open -> fts_set_stat_required
fts_open -> fts_stat
fts_open -> fts_sort
fts_open -> setup_dir
fts_open -> diropen
fts_open -> i_ring_init
fts_open -> fts_lfree
map_device -> externalFun_malloc
map_device -> hash_insert
map_device -> hash_initialize
lookup_zone -> externalFun_strcmp
sha224_buffer -> sha224_init_ctx
sha224_buffer -> sha256_process_bytes
sha224_buffer -> sha224_finish_ctx
create_initial_state -> externalFun_free
create_initial_state -> externalFun___builtin_expect
create_initial_state -> re_node_set_init_copy
create_initial_state -> re_node_set_contains
create_initial_state -> re_node_set_merge
create_initial_state -> re_acquire_state_context
strnlen1 -> externalFun_memchr
openat_proc_name -> externalFun_strcpy
openat_proc_name -> externalFun_malloc
openat_proc_name -> externalFun_strlen
openat_proc_name -> externalFun_close
openat_proc_name -> externalFun_access
openat_proc_name -> externalFun_sprintf
openat_proc_name -> externalFun_open
freea -> externalFun_free
freea -> externalFun_abort
free_fail_stack_return -> externalFun_free
default_block_size -> externalFun_getenv
randint_choose -> randint_genmax
fdutimensat -> externalFun___errno_location
fdutimensat -> externalFun_utimensat
fdutimensat -> rpl_futimens
get_group_info -> externalFun_malloc
get_group_info -> externalFun_getgroups
isapipe -> externalFun_fstat
strcaseeq3 -> c_isupper
strcaseeq3 -> strcaseeq4
set_regs -> externalFun___builtin_expect
set_regs -> externalFun_free
set_regs -> externalFun_memcpy
set_regs -> externalFun___builtin_alloca
set_regs -> externalFun_memset
set_regs -> externalFun_malloc
set_regs -> externalFun___builtin_unreachable
set_regs -> free_fail_stack_return
set_regs -> update_regs
set_regs -> pop_fail_stack
